cluster,core_phrase,pattern,count,mean_prob
370,получила открытку,VERB NOUN,85,0.9726866307586599
6,самого найлучшего,ADJ VERB,79,0.9369125808168337
15,подпись подпись,NOUN NOUN,76,0.8902500258018309
11,семейство поздравляем,NOUN VERB,66,0.7628493891266203
120,хорошо провести,ADJ VERB,56,0.9361717143595969
17,целую шлю,ADJ NOUN,56,0.8170617962663359
369,сейчас получил,ADV VERB,51,0.870665551184607
392,здоровы привет,ADJ NOUN,49,0.562928125912148
230,уже нрзб,ADV VERB,48,0.6551462156494895
88,христовым воскресением,ADJ NOUN,44,0.9161062840824123
486,сейчас приехали,ADV VERB,44,0.8726074832391397
2,со днем ангела,ADP NOUN NOUN,43,0.9596093342721002
112,пожелания желаю,NOUN VERB,42,0.8993703079072739
49,сейчас нет,ADV VERB,42,0.8648078704846567
283,здоровье здоровья,NOUN NOUN,42,0.6290312380705174
406,пиши пожалуйста,VERB ADV,42,0.4282552863583674
322,ти нрзб,NOUN VERB,39,0.8096031684471132
163,праздником днем,NOUN NOUN,36,0.9123636733801234
4,память поздравляю,NOUN VERB,36,0.8396535249056988
188,поздравляю вас праздником,VERB PRON NOUN,36,0.8291914273705508
381,привет папа,NOUN NOUN,36,0.44151690705726193
147,ожидаю поезда,VERB NOUN,34,0.8998177480367932
366,дорогие друзья,ADJ NOUN,34,0.4458572068078289
110,хорошо остаюсь,ADV VERB,34,0.3518727673803862
224,желаю от души,VERB ADP NOUN,33,0.9063240038530974
479,еще придется,ADV VERB,32,0.7115735557160646
292,прошу пожалуйста,VERB ADV,32,0.6122498094372558
353,пишите адрес,VERB NOUN,31,0.8774782231397549
10,добрым знакомым,ADJ NOUN,31,0.8041710742653527
464,хорошо устроился,ADV VERB,31,0.5897987176408107
131,милую мамочку,ADJ NOUN,31,0.5094986480670691
186,берегу моря,NOUN NOUN,29,0.9476619044526371
415,получено письмо,VERB NOUN,29,0.9436691040007493
142,сейчас живу,ADV VERB,29,0.8346150272938193
497,идут дела,VERB NOUN,29,0.4650593580047585
476,дорогая галечка,ADJ NOUN,28,0.8048970925496899
228,желаим желаем,NOUN VERB,28,0.7031587906722453
197,хорошую погоду,ADJ NOUN,28,0.5829633799577378
81,годом год,NOUN NOUN,28,0.5476425271748833
334,красной армии,ADJ NOUN,28,0.5339523253858309
428,привет поздравления,NOUN NOUN,27,0.9330741240887738
46,праздником мая,NOUN NOUN,27,0.8185869568163663
40,светлых солнечных дней,ADJ ADJ NOUN,26,0.9234345682132776
95,поклон поздравление,ADJ NOUN,26,0.6425124647855712
376,сейчас пишу,ADV VERB,26,0.5196680778229834
123,уваж ающий,NOUN VERB,25,0.8542286776495424
285,благополучья благополучия,VERB NOUN,25,0.8312517512103075
205,вместе целуем,ADV VERB,25,0.718294184327539
473,сегодня уезжаю,ADV VERB,25,0.5962377930198747
19,хорошего шура,ADJ NOUN,25,0.5128659720953532
305,привет вера,NOUN NOUN,24,0.81465375426643
84,годовщиной октября,NOUN NOUN,24,0.7936569742735765
164,очень беспокоюсь,ADV VERB,24,0.6751757950560414
410,дорогой дядя,ADJ NOUN,24,0.5942786367253545
249,сдаю экзамены,VERB NOUN,24,0.5725185305204001
122,уважением любовью,NOUN NOUN,24,0.4865288877507406
411,детям внукам,NOUN NOUN,24,0.4346104023531163
109,очень хочется,ADV VERB,23,0.93003475496495
43,женским днем,ADJ NOUN,23,0.8814947957515618
79,теперь жду,ADV VERB,23,0.8088078693048162
500,теперь едем,ADV VERB,23,0.7977411295911696
478,там думаю,ADV VERB,23,0.746769207871321
272,доброго здоровья,ADJ NOUN,23,0.6022089510026362
98,днем рожденья,NOUN NOUN,23,0.5687387947620213
126,часто вспоминаю,ADV VERB,23,0.47185389234656566
85,год желаю,NOUN VERB,23,0.45164101997057154
177,поздравляем днем,VERB NOUN,22,0.8303986495712962
281,привет супругу,NOUN NOUN,22,0.760174763861355
288,свидания привет,NOUN NOUN,22,0.721640957979635
474,завтра поеду,ADV VERB,21,0.9043039651406906
179,сердечно поздравляю,ADV VERB,21,0.8978864546197786
336,ивановна поздравляю,NOUN VERB,21,0.778349361078207
300,простите пожалуйста,VERB ADV,21,0.6538264391442357
487,знаю где,VERB ADV,21,0.5954785952960145
26,дорогой имениницей,ADJ NOUN,21,0.5932039530173722
348,подробно напишу,ADV VERB,21,0.5573010419961699
200,сердечным приветом,ADJ NOUN,20,0.6845775264991386
117,нрзб где,VERB ADV,20,0.674889765835405
69,маму поздравляю,NOUN VERB,20,0.6296207349249572
484,приехать домой,VERB ADV,20,0.6265069986723538
24,очень скучаю,ADV VERB,20,0.5723619092365283
72,передавайте привет,VERB NOUN,20,0.5418013009585244
30,цветут цветы,VERB NOUN,20,0.45509356594303074
470,часам вечера,NOUN NOUN,19,0.8787158607953693
3,привет подпись,NOUN NOUN,19,0.8149120202730193
467,милая валечка,ADJ NOUN,19,0.8042125272837708
477,пользуюсь случаем,VERB NOUN,19,0.7543610169603268
143,наилучшие пожелания,ADJ NOUN,19,0.7137293602758155
217,будущий год,ADJ NOUN,19,0.7057332193056012
492,здесь есть,ADV VERB,19,0.6990157349336018
73,низко кланяюсь,ADV VERB,19,0.6681041583662818
140,дорогой нрзб,NOUN VERB,19,0.6609805993684891
385,приехала посылаю,VERB NOUN,19,0.5861681213083091
364,васильевна поздравляем,ADV VERB,18,0.9174149059158161
33,счастья исполнения,NOUN NOUN,18,0.9125725137530463
498,работаю очень,VERB ADV,18,0.8476979085944131
